text	tokenized	tok_nostem	preprocessed	label
Good stuff , was it ? - The best .	['good', 'stuff', 'was', 'it', 'the', 'best']	['good', 'stuff', 'was', 'it', 'the', 'best']	good stuff was it the best	8
Good work , [PERSON] .	['good', 'work', 'person']	['good', 'work', 'person']	good work person	8, 2
Goodnight .	['goodnight']	['goodnight']	goodnight	8
got a strong back . And a strong desire to escape .	['got', 'a', 'strong', 'back', 'and', 'a', 'strong', 'desir', 'to', 'escap']	['got', 'a', 'strong', 'back', 'and', 'a', 'strong', 'desire', 'to', 'escape']	got a strong back and a strong desir to escap	8, 2
Got it ?	['got', 'it']	['got', 'it']	got it	8, 2
Got it .	['got', 'it']	['got', 'it']	got it	8
Got ta duck down lower . Go under the wind , go under it !	['got', 'ta', 'duck', 'down', 'lower', 'go', 'under', 'the', 'wind', 'go', 'under', 'it']	['got', 'ta', 'duck', 'down', 'lower', 'go', 'under', 'the', 'wind', 'go', 'under', 'it']	got ta duck down lower go under the wind go under it	8
Got ta have good nerves , though .	['got', 'ta', 'have', 'good', 'nerv', 'though']	['got', 'ta', 'have', 'good', 'nerves', 'though']	got ta have good nerv though	8
[PERSON] , do you happen to have a light ?	['person', 'do', 'you', 'happen', 'to', 'have', 'a', 'light']	['person', 'do', 'you', 'happen', 'to', 'have', 'a', 'light']	person do you happen to have a light	8
[PERSON] ? I forgive you for failing .	['person', 'i', 'forgiv', 'you', 'for', 'fail']	['person', 'i', 'forgive', 'you', 'for', 'failing']	person i forgiv you for fail	8
Grimm needs a little reassuring .	['grimm', 'need', 'a', 'littl', 'reassur']	['grimm', 'needs', 'a', 'little', 'reassuring']	grimm need a littl reassur	8
Guard them with your life .	['guard', 'them', 'with', 'your', 'life']	['guard', 'them', 'with', 'your', 'life']	guard them with your life	8
Guess my old man's not such a bad guy after all .	['guess', 'my', 'old', 'man', 'not', 'such', 'a', 'bad', 'guy', 'after', 'all']	['guess', 'my', 'old', 'mans', 'not', 'such', 'a', 'bad', 'guy', 'after', 'all']	guess my old man not such a bad guy after all	8
Hanford has extensive outdoor experience .	['hanford', 'has', 'extens', 'outdoor', 'experi']	['hanford', 'has', 'extensive', 'outdoor', 'experience']	hanford has extens outdoor experi	8
Hang tight . Hang tight .	['hang', 'tight', 'hang', 'tight']	['hang', 'tight', 'hang', 'tight']	hang tight hang tight	8
[PERSON] , you and [PERSON] give me a hand with this door .	['person', 'you', 'and', 'person', 'give', 'me', 'a', 'hand', 'with', 'this', 'door']	['person', 'you', 'and', 'person', 'give', 'me', 'a', 'hand', 'with', 'this', 'door']	person you and person give me a hand with this door	8
Hasn't God forgiven me , thanks to you ?	['hasnt', 'god', 'forgiven', 'me', 'thank', 'to', 'you']	['hasnt', 'god', 'forgiven', 'me', 'thanks', 'to', 'you']	hasnt god forgiven me thank to you	8
Have a good day , honey .	['have', 'a', 'good', 'day', 'honey']	['have', 'a', 'good', 'day', 'honey']	have a good day honey	8
Have courage , princess .	['have', 'courag', 'princess']	['have', 'courage', 'princess']	have courag princess	8
Have dinner with me .	['have', 'dinner', 'with', 'me']	['have', 'dinner', 'with', 'me']	have dinner with me	8
Have Doc take a look at him .	['have', 'doc', 'take', 'a', 'look', 'at', 'him']	['have', 'doc', 'take', 'a', 'look', 'at', 'him']	have doc take a look at him	8
Have you ordered yet ?	['have', 'you', 'order', 'yet']	['have', 'you', 'ordered', 'yet']	have you order yet	8
He ain't such a bad horse .	['he', 'aint', 'such', 'a', 'bad', 'hors']	['he', 'aint', 'such', 'a', 'bad', 'horse']	he aint such a bad hors	8
He can help us .	['he', 'can', 'help', 'us']	['he', 'can', 'help', 'us']	he can help us	8
He can use one of my horses !	['he', 'can', 'use', 'one', 'of', 'my', 'hors']	['he', 'can', 'use', 'one', 'of', 'my', 'horses']	he can use one of my hors	8
He can't win in the House .	['he', 'cant', 'win', 'in', 'the', 'hous']	['he', 'cant', 'win', 'in', 'the', 'house']	he cant win in the hous	8
He certainly can .	['he', 'certain', 'can']	['he', 'certainly', 'can']	he certain can	8
He does do right well for himself .	['he', 'doe', 'do', 'right', 'well', 'for', 'himself']	['he', 'does', 'do', 'right', 'well', 'for', 'himself']	he doe do right well for himself	8
He doesn't have your heart .	['he', 'doesnt', 'have', 'your', 'heart']	['he', 'doesnt', 'have', 'your', 'heart']	he doesnt have your heart	8
He doesn't want any trouble with anyone .	['he', 'doesnt', 'want', 'ani', 'troubl', 'with', 'anyon']	['he', 'doesnt', 'want', 'any', 'trouble', 'with', 'anyone']	he doesnt want ani troubl with anyon	8
He goes to the fucking hospital , right ?	['he', 'goe', 'to', 'the', 'fuck', 'hospit', 'right']	['he', 'goes', 'to', 'the', 'fucking', 'hospital', 'right']	he goe to the fuck hospit right	8, 1, 2
He heard a fragment of her conversation with the mother - in - law , when it demanded what it links was it showing any thing ?	['he', 'heard', 'a', 'fragment', 'of', 'her', 'convers', 'with', 'the', 'mother', 'in', 'law', 'when', 'it', 'demand', 'what', 'it', 'link', 'was', 'it', 'show', 'ani', 'thing']	['he', 'heard', 'a', 'fragment', 'of', 'her', 'conversation', 'with', 'the', 'mother', 'in', 'law', 'when', 'it', 'demanded', 'what', 'it', 'links', 'was', 'it', 'showing', 'any', 'thing']	he heard a fragment of her convers with the mother in law when it demand what it link was it show ani thing	8
He hunts in the morning , he comes back in the afternoon .	['he', 'hunt', 'in', 'the', 'morn', 'he', 'come', 'back', 'in', 'the', 'afternoon']	['he', 'hunts', 'in', 'the', 'morning', 'he', 'comes', 'back', 'in', 'the', 'afternoon']	he hunt in the morn he come back in the afternoon	8
He is an integral part of the defense .	['he', 'is', 'an', 'integr', 'part', 'of', 'the', 'defens']	['he', 'is', 'an', 'integral', 'part', 'of', 'the', 'defense']	he is an integr part of the defens	8
He is not only older and wiser but his present trouble has taught him precaution .	['he', 'is', 'not', 'onli', 'older', 'and', 'wiser', 'but', 'his', 'present', 'troubl', 'has', 'taught', 'him', 'precaut']	['he', 'is', 'not', 'only', 'older', 'and', 'wiser', 'but', 'his', 'present', 'trouble', 'has', 'taught', 'him', 'precaution']	he is not onli older and wiser but his present troubl has taught him precaut	8
He is responsible .	['he', 'is', 'respons']	['he', 'is', 'responsible']	he is respons	8
He knew my father very well .	['he', 'knew', 'my', 'father', 'veri', 'well']	['he', 'knew', 'my', 'father', 'very', 'well']	he knew my father veri well	8
He knows no more than [PERSON] .	['he', 'know', 'no', 'more', 'than', 'person']	['he', 'knows', 'no', 'more', 'than', 'person']	he know no more than person	8
He knows what [PERSON] said by heart and Boy Stuff is swell .	['he', 'know', 'what', 'person', 'said', 'by', 'heart', 'and', 'boy', 'stuff', 'is', 'swell']	['he', 'knows', 'what', 'person', 'said', 'by', 'heart', 'and', 'boy', 'stuff', 'is', 'swell']	he know what person said by heart and boy stuff is swell	8
He knows you can do it , so do I.	['he', 'know', 'you', 'can', 'do', 'it', 'so', 'do', 'i']	['he', 'knows', 'you', 'can', 'do', 'it', 'so', 'do', 'i']	he know you can do it so do i	8
He might have a job for you .	['he', 'might', 'have', 'a', 'job', 'for', 'you']	['he', 'might', 'have', 'a', 'job', 'for', 'you']	he might have a job for you	8
He must have a plan .	['he', 'must', 'have', 'a', 'plan']	['he', 'must', 'have', 'a', 'plan']	he must have a plan	8
He ought to be president .	['he', 'ought', 'to', 'be', 'presid']	['he', 'ought', 'to', 'be', 'president']	he ought to be presid	8
He owns Wolf City Development , which owns [LOCATION] ... which lets us alone .	['he', 'own', 'wolf', 'citi', 'develop', 'which', 'own', 'locat', 'which', 'let', 'us', 'alon']	['he', 'owns', 'wolf', 'city', 'development', 'which', 'owns', 'location', 'which', 'lets', 'us', 'alone']	he own wolf citi develop which own locat which let us alon	8
He runs the best parish in the archdiocese , and he's a good man .	['he', 'run', 'the', 'best', 'parish', 'in', 'the', 'archdioces', 'and', 'hes', 'a', 'good', 'man']	['he', 'runs', 'the', 'best', 'parish', 'in', 'the', 'archdiocese', 'and', 'hes', 'a', 'good', 'man']	he run the best parish in the archdioces and hes a good man	8
He saved my neck .	['he', 'save', 'my', 'neck']	['he', 'saved', 'my', 'neck']	he save my neck	8
Get down ! I said now , asshole !	['get', 'down', 'i', 'said', 'now', 'asshol']	['get', 'down', 'i', 'said', 'now', 'asshole']	get down i said now asshol	1
Get going , [PERSON] ! [PERSON] !	['get', 'go', 'person', 'person']	['get', 'going', 'person', 'person']	get go person person	1
Get her .	['get', 'her']	['get', 'her']	get her	1
Get in the car !	['get', 'in', 'the', 'car']	['get', 'in', 'the', 'car']	get in the car	1
Get in the car .	['get', 'in', 'the', 'car']	['get', 'in', 'the', 'car']	get in the car	1
Get it and no one'll get hurt .	['get', 'it', 'and', 'no', 'onel', 'get', 'hurt']	['get', 'it', 'and', 'no', 'onell', 'get', 'hurt']	get it and no onel get hurt	1
Get lost !	['get', 'lost']	['get', 'lost']	get lost	1
Get me a prisoner , understand ?	['get', 'me', 'a', 'prison', 'understand']	['get', 'me', 'a', 'prisoner', 'understand']	get me a prison understand	1
Get off my roof !	['get', 'off', 'my', 'roof']	['get', 'off', 'my', 'roof']	get off my roof	1
Get off of that train .	['get', 'off', 'of', 'that', 'train']	['get', 'off', 'of', 'that', 'train']	get off of that train	1
Get Off !	['get', 'off']	['get', 'off']	get off	1
Get off ! - Outside , please .	['get', 'off', 'outsid', 'pleas']	['get', 'off', 'outside', 'please']	get off outsid pleas	1
Get on out of here !	['get', 'on', 'out', 'of', 'here']	['get', 'on', 'out', 'of', 'here']	get on out of here	1
Get on !	['get', 'on']	['get', 'on']	get on	1
Get out of here before I throw you out .	['get', 'out', 'of', 'here', 'befor', 'i', 'throw', 'you', 'out']	['get', 'out', 'of', 'here', 'before', 'i', 'throw', 'you', 'out']	get out of here befor i throw you out	1
Get out of here , before I make you beg for your life .	['get', 'out', 'of', 'here', 'befor', 'i', 'make', 'you', 'beg', 'for', 'your', 'life']	['get', 'out', 'of', 'here', 'before', 'i', 'make', 'you', 'beg', 'for', 'your', 'life']	get out of here befor i make you beg for your life	1
Get out of here !	['get', 'out', 'of', 'here']	['get', 'out', 'of', 'here']	get out of here	1, 2
Get out of my office .	['get', 'out', 'of', 'my', 'offic']	['get', 'out', 'of', 'my', 'office']	get out of my offic	1
Get out of my way , [PERSON] .	['get', 'out', 'of', 'my', 'way', 'person']	['get', 'out', 'of', 'my', 'way', 'person']	get out of my way person	1
Get out of my way !	['get', 'out', 'of', 'my', 'way']	['get', 'out', 'of', 'my', 'way']	get out of my way	1
Get out of my way .	['get', 'out', 'of', 'my', 'way']	['get', 'out', 'of', 'my', 'way']	get out of my way	1
Get out of the god damn hallway , [PERSON] .	['get', 'out', 'of', 'the', 'god', 'damn', 'hallway', 'person']	['get', 'out', 'of', 'the', 'god', 'damn', 'hallway', 'person']	get out of the god damn hallway person	1
Get out of town !	['get', 'out', 'of', 'town']	['get', 'out', 'of', 'town']	get out of town	1
Get out !	['get', 'out']	['get', 'out']	get out	1
Get out .	['get', 'out']	['get', 'out']	get out	1
Get outta the way .	['get', 'outta', 'the', 'way']	['get', 'outta', 'the', 'way']	get outta the way	1
Get rid of her .	['get', 'rid', 'of', 'her']	['get', 'rid', 'of', 'her']	get rid of her	1
Get rid of that kid !	['get', 'rid', 'of', 'that', 'kid']	['get', 'rid', 'of', 'that', 'kid']	get rid of that kid	1
Get that goddamn thing on film !	['get', 'that', 'goddamn', 'thing', 'on', 'film']	['get', 'that', 'goddamn', 'thing', 'on', 'film']	get that goddamn thing on film	1
Get the fuck out of this country .	['get', 'the', 'fuck', 'out', 'of', 'this', 'countri']	['get', 'the', 'fuck', 'out', 'of', 'this', 'country']	get the fuck out of this countri	1
Get the legs .	['get', 'the', 'leg']	['get', 'the', 'legs']	get the leg	1, 2
Get these men out of here .	['get', 'these', 'men', 'out', 'of', 'here']	['get', 'these', 'men', 'out', 'of', 'here']	get these men out of here	1
Get those bags in , and get in fast !	['get', 'those', 'bag', 'in', 'and', 'get', 'in', 'fast']	['get', 'those', 'bags', 'in', 'and', 'get', 'in', 'fast']	get those bag in and get in fast	1
Get up , you big hero .	['get', 'up', 'you', 'big', 'hero']	['get', 'up', 'you', 'big', 'hero']	get up you big hero	1
Get up !	['get', 'up']	['get', 'up']	get up	1
Get up ! Do you hear me ?	['get', 'up', 'do', 'you', 'hear', 'me']	['get', 'up', 'do', 'you', 'hear', 'me']	get up do you hear me	1
Get upstairs , miss .	['get', 'upstair', 'miss']	['get', 'upstairs', 'miss']	get upstair miss	1
Get us some frickin' pretzels or something .	['get', 'us', 'some', 'frickin', 'pretzel', 'or', 'someth']	['get', 'us', 'some', 'frickin', 'pretzels', 'or', 'something']	get us some frickin pretzel or someth	1
Get your ass movin' !	['get', 'your', 'ass', 'movin']	['get', 'your', 'ass', 'movin']	get your ass movin	1
Get your hands off him or I'll call the Metropolitan scuffers !	['get', 'your', 'hand', 'off', 'him', 'or', 'ill', 'call', 'the', 'metropolitan', 'scuffer']	['get', 'your', 'hands', 'off', 'him', 'or', 'ill', 'call', 'the', 'metropolitan', 'scuffers']	get your hand off him or ill call the metropolitan scuffer	1
Get your little butt in here .	['get', 'your', 'littl', 'butt', 'in', 'here']	['get', 'your', 'little', 'butt', 'in', 'here']	get your littl butt in here	1
Gim me a good reason why not .	['gim', 'me', 'a', 'good', 'reason', 'whi', 'not']	['gim', 'me', 'a', 'good', 'reason', 'why', 'not']	gim me a good reason whi not	1
Gim me my coat !	['gim', 'me', 'my', 'coat']	['gim', 'me', 'my', 'coat']	gim me my coat	1
Gim me that damn mike !	['gim', 'me', 'that', 'damn', 'mike']	['gim', 'me', 'that', 'damn', 'mike']	gim me that damn mike	1
Give a girl a chance to breathe .	['give', 'a', 'girl', 'a', 'chanc', 'to', 'breath']	['give', 'a', 'girl', 'a', 'chance', 'to', 'breathe']	give a girl a chanc to breath	1
Give him $ .	['give', 'him']	['give', 'him']	give him	1, 2
Give him quinine and stop pretending you're [PERSON] .	['give', 'him', 'quinin', 'and', 'stop', 'pretend', 'your', 'person']	['give', 'him', 'quinine', 'and', 'stop', 'pretending', 'youre', 'person']	give him quinin and stop pretend your person	1
Give it to me !	['give', 'it', 'to', 'me']	['give', 'it', 'to', 'me']	give it to me	1
Give me a break , we just met !	['give', 'me', 'a', 'break', 'we', 'just', 'met']	['give', 'me', 'a', 'break', 'we', 'just', 'met']	give me a break we just met	1
Give me a minute .	['give', 'me', 'a', 'minut']	['give', 'me', 'a', 'minute']	give me a minut	1
Give me my clothes , please .	['give', 'me', 'my', 'cloth', 'pleas']	['give', 'me', 'my', 'clothes', 'please']	give me my cloth pleas	1
Give me that !	['give', 'me', 'that']	['give', 'me', 'that']	give me that	1
Give me the lighter .	['give', 'me', 'the', 'lighter']	['give', 'me', 'the', 'lighter']	give me the lighter	1
Give me the money .	['give', 'me', 'the', 'money']	['give', 'me', 'the', 'money']	give me the money	1, 2
Give me the suit , right now .	['give', 'me', 'the', 'suit', 'right', 'now']	['give', 'me', 'the', 'suit', 'right', 'now']	give me the suit right now	1
Give them a taste of their own iron !	['give', 'them', 'a', 'tast', 'of', 'their', 'own', 'iron']	['give', 'them', 'a', 'taste', 'of', 'their', 'own', 'iron']	give them a tast of their own iron	1
Give us the f. . .	['give', 'us', 'the', 'f']	['give', 'us', 'the', 'f']	give us the f	1
Go ahead , man to man .	['go', 'ahead', 'man', 'to', 'man']	['go', 'ahead', 'man', 'to', 'man']	go ahead man to man	1, 2
Go and say sorry to him . '	['go', 'and', 'say', 'sorri', 'to', 'him']	['go', 'and', 'say', 'sorry', 'to', 'him']	go and say sorri to him	1
Go away .	['go', 'away']	['go', 'away']	go away	1
Go back to the perimeter , you pinhead .	['go', 'back', 'to', 'the', 'perimet', 'you', 'pinhead']	['go', 'back', 'to', 'the', 'perimeter', 'you', 'pinhead']	go back to the perimet you pinhead	1
